Dates,Stock,Last Price,Open Price,High Price,Low Price,Volume,Bid Price,Ask Price,Market Order Bid Size,Market Order Ask Size,Average Volume 30 Day,Moving Average 20 Day,Turnover / Traded Value,RSI 14 Day,Moving Average 20 Day,Moving Average 50 Day,Moving Average 200 Day,Volatility 30 Day,Implied Volatility Mid,Current Market Cap,VWAP Price
29/11/2019,ALT US Equity,1.82,1.69,1.8391,1.6601,95166,1.8,1.82,#N/A N/A,#N/A N/A,106375,1.7293,167230.1,54.7456,1.7293,1.8763,2.3891,52.386,#N/A N/A,27.9153,1.7576
2/12/2019,ALT US Equity,1.94,1.9,1.94,1.85,189353,1.92,1.94,#N/A N/A,#N/A N/A,111461.1667,1.7288,356389.8,62.4487,1.7288,1.8729,2.3838,55.85,#N/A N/A,29.7559,1.8821
3/12/2019,ALT US Equity,2.15,1.95,2.15,1.9296,296823,2.14,2.15,#N/A N/A,#N/A N/A,119817.9667,1.7398,607643.2,71.5691,1.7398,1.8741,2.3797,63.765,#N/A N/A,32.9769,2.0471
4/12/2019,ALT US Equity,2.14,2.15,2.22,2.1,171436,2.15,2.17,#N/A N/A,#N/A N/A,123914.6333,1.7508,372495.8,70.6887,1.7508,1.8763,2.3761,63.793,#N/A N/A,32.8235,2.1727
5/12/2019,ALT US Equity,1.83,2.21,2.2399,1.83,746267,1.83,1.85,#N/A N/A,#N/A N/A,147124.5667,1.7488,1495835,50.1089,1.7488,1.8727,2.3713,79.497,#N/A N/A,28.0687,2.0043
6/12/2019,ALT US Equity,1.88,1.84,1.92,1.83,115299,1.88,1.89,#N/A N/A,#N/A N/A,150278.5333,1.75,215839.7,52.5104,1.75,1.8703,2.3667,79.965,#N/A N/A,28.8356,1.8717
9/12/2019,ALT US Equity,1.84,1.89,1.93,1.81,138698,1.81,1.86,#N/A N/A,#N/A N/A,153132.4667,1.75,255233,50.4195,1.75,1.8681,2.362,79.881,#N/A N/A,28.2221,1.8398
10/12/2019,ALT US Equity,1.83,1.85,1.9,1.81,64142,1.81,1.84,#N/A N/A,#N/A N/A,154441.5,1.7525,117984.6,49.8847,1.7525,1.8657,2.3571,79.716,#N/A N/A,28.0687,1.8396
11/12/2019,ALT US Equity,1.8498,1.83,1.9,1.76,109172,1.84,1.86,#N/A N/A,#N/A N/A,157272.8,1.7575,198226.5,50.9931,1.7575,1.8647,2.3522,79.716,#N/A N/A,28.3724,1.8156
12/12/2019,ALT US Equity,1.79,1.82,1.88,1.79,112909,1.79,1.8,#N/A N/A,#N/A N/A,159447.3333,1.759,205501,47.5711,1.759,1.8627,2.3477,80.066,#N/A N/A,27.4551,1.8201
